created_at,voterID,message,selection1,selection2,selection3,selection4,selection5,selection6,voting_power
2024-06-13 21:46:52.576,9zm2z60yj4540lxhr0ylfgyq7yzrv9m490my596y2,"{""params"":[""cardanoAtlanticCouncil"",""lloydDuhon"",""cardanoJapan""],""timestamp"":1718315207938}",cardanoAtlanticCouncil,lloydDuhon,cardanoJapan,,,,24241104597
2024-06-13 21:47:03.543,xq6n0wjy5jzzyg6f0qn0yzfrrj67yj2yyqvqwll,"{""params"":[""cardanoAtlanticCouncil"",""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil"",""inoNpo"",""joshuaStone"",""mauroAgustnAndreoli""],""timestamp"":1718315208958}",cardanoAtlanticCouncil,cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,inoNpo,joshuaStone,mauroAgustnAndreoli,5387106802
2024-06-13 21:47:57.922,y4lg85z6xxmh9myn5qgyzqzxvqlzryg8m2y8z76gxy73y5,"{""params"":[""cardanoAtlanticCouncil"",""cardanoConfederationOfEmergingEconomies"",""cardanoJapan"",""easternCardanoCouncil"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718315250435}",cardanoAtlanticCouncil,cardanoConfederationOfEmergingEconomies,cardanoJapan,easternCardanoCouncil,lloydDuhon,mauroAgustnAndreoli,8478645386
2024-06-13 21:49:10.915,y4lg85z6xxmh9myn5qgyzqzxvqlzryg8m2y8z76gxy73y5,"{""params"":[""aaronOu"",""andrewDonovan"",""ticoMismana"",""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil"",""kevinMohr""],""timestamp"":1718315331701}",aaronOu,andrewDonovan,ticoMismana,cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,kevinMohr,8478645386
2024-06-13 21:54:35.127,yjmyyywzx4fy7vyfvyf808yy96n89jxf5yj4ngy5qn6j,"{""params"":[""johnnyKelly"",""andrewDonovan""],""timestamp"":1718315664619}",johnnyKelly,andrewDonovan,,,,,5522658269
2024-06-13 21:54:39.308,xrnr4275ym4y50zz3n55653ly4myrm2vwf79nyr6hq,"{""params"":[""cardanoAtlanticCouncil"",""johnnyKelly"",""easternCardanoCouncil"",""lloydDuhon""],""timestamp"":1718315661771}",cardanoAtlanticCouncil,johnnyKelly,easternCardanoCouncil,lloydDuhon,,,30059853221
2024-06-13 21:54:39.731,9wylmym52rrmv28q55g9m2j2mlrh6z3gvxvqrv,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718315674087}",cardanoAtlanticCouncil,,,,,,2075237242
2024-06-13 22:04:20.56,yf8y3x5vl3zghh80y9jz3rylf67wq9ryxqlr4myy3jy29,"{""params"":[""easternCardanoCouncil"",""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon"",""johnnyKelly"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718316217539}",easternCardanoCouncil,cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,johnnyKelly,cardanoConfederationOfEmergingEconomies,11560938471
2024-06-13 22:06:13.31,99yjhqg38lnyqngfvzvmrhjylyn474m8yr2qfjmg3n2my3,"{""params"":[""mauroAgustnAndreoli""],""timestamp"":1718316362408}",mauroAgustnAndreoli,,,,,,207651608
2024-06-13 22:06:33.205,y56nn7w58yr528mfrxghyngnn4z47jyygy9mvgy75qmhyyny,"{""params"":[""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""johnnyKelly"",""lloydDuhon"",""mauroAgustnAndreoli"",""nicodemusRodriguez""],""timestamp"":1718316386957}",cardanoAtlanticCouncil,easternCardanoCouncil,johnnyKelly,lloydDuhon,mauroAgustnAndreoli,nicodemusRodriguez,9554528852
2024-06-13 22:07:09.775,8n9265y5j22vxwyy69xzl7hmmgy2fxww5z8gwm2vj,"{""params"":[""lloydDuhon""],""timestamp"":1718316400977}",lloydDuhon,,,,,,4074576131
2024-06-13 22:07:30.294,9yy9ygf2yyr433yw5hfqmyj4yqjy4g0w96y4ywjm,"{""params"":[""cardanoJapan"",""mauroAgustnAndreoli"",""nicodemusRodriguez"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718316431805}",cardanoJapan,mauroAgustnAndreoli,nicodemusRodriguez,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,108157406
2024-06-13 22:07:33.247,9yqhg7nfh494906qzl898z7yyg0nj0g4xw35g8vw5,"{""params"":[""cardanoAtlanticCouncil"",""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil"",""cardanoJapan"",""tevoSaks""],""timestamp"":1718316432700}",cardanoAtlanticCouncil,cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,cardanoJapan,tevoSaks,,1288086744
2024-06-13 22:07:54.234,84yjqyylnn5xmh59nm23w4yyzv9hy23h98yjj805nqn2880,"{""params"":[""joshuaStone"",""johnnyKelly"",""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""andrewDonovan"",""jonathanPartlow""],""timestamp"":1718316449850}",joshuaStone,johnnyKelly,cardanoAtlanticCouncil,easternCardanoCouncil,andrewDonovan,jonathanPartlow,5571855
2024-06-13 22:08:09.166,99yjhqg38lnyqngfvzvmrhjylyn474m8yr2qfjmg3n2my3,"{""params"":[""mauroAgustnAndreoli"",""richManderino""],""timestamp"":1718316477731}",mauroAgustnAndreoli,richManderino,,,,,207651608
2024-06-13 22:10:41.319,xgyyxr9y0g0zhynx8lv665v33h39yg6ygygxy0,"{""params"":[""mauroAgustnAndreoli"",""johnnyKelly"",""andrewDonovan"",""cardanoAtlanticCouncil""],""timestamp"":1718316597738}",mauroAgustnAndreoli,johnnyKelly,andrewDonovan,cardanoAtlanticCouncil,,,111534614
2024-06-13 22:13:15.926,yjyylnmjr0qyq25rvgvvy79wvlmyrzryqyqgxyqnyvfff,"{""params"":[""mauroAgustnAndreoli"",""andrewDonovan"",""johnnyKelly"",""cardanoAtlanticCouncil""],""timestamp"":1718316712336}",mauroAgustnAndreoli,andrewDonovan,johnnyKelly,cardanoAtlanticCouncil,,,402980862946
2024-06-13 22:14:17.018,964w80wry6y3wn5zxrhvxyh8fnymw9r54yjg23xy3ln,"{""params"":[""easternCardanoCouncil"",""cardanoAtlanticCouncil"",""cardanoConfederationOfEmergingEconomies"",""mauroAgustnAndreoli"",""lloydDuhon"",""joshuaStone""],""timestamp"":1718316844269}",easternCardanoCouncil,cardanoAtlanticCouncil,cardanoConfederationOfEmergingEconomies,mauroAgustnAndreoli,lloydDuhon,joshuaStone,87329930
2024-06-13 22:15:51.92,9jgyl0z0q5lgy4xy37lymv6278y032jmv32g8hj4lz4y,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718316944043}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,,,,34652334323
2024-06-13 22:16:22.278,9jgyl0z0q5lgy4xy37lymv6278y032jmv32g8hj4lz4y,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718316976070}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,,,,34652334323
2024-06-13 22:16:47.753,9jgyl0z0q5lgy4xy37lymv6278y032jmv32g8hj4lz4y,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718316998665}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,,,,34652334323
2024-06-13 22:17:09.481,8vzv3h8xwqy8lnvyjvfgfl0xq3y4y8n56xy6gmyqj0r2n,"{""params"":[""easternCardanoCouncil""],""timestamp"":1718317024267}",easternCardanoCouncil,,,,,,7533060357
2024-06-13 22:17:15.719,9jgyl0z0q5lgy4xy37lymv6278y032jmv32g8hj4lz4y,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718317029413}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,,,,34652334323
2024-06-13 22:17:32.554,y5y907q2yjw0vyyr6z2y692z9y3m49l8ggffy85qm9,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""lloydDuhon"",""easternCardanoCouncil"",""mauroAgustnAndreoli"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718317040346}",cardanoAtlanticCouncil,joshuaStone,lloydDuhon,easternCardanoCouncil,mauroAgustnAndreoli,cardanoConfederationOfEmergingEconomies,6812231394
2024-06-13 22:18:20.953,yvgny382lhmjhgg65g6qgm3jfv8zf86ywwrwhyl,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718317085811}",cardanoAtlanticCouncil,,,,,,643899938
2024-06-13 22:19:14.295,9n823y5ng42lwg8nyr45q480y0yn2zn79zy0x8l,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718317069336}",cardanoAtlanticCouncil,,,,,,24083337
2024-06-13 22:19:44.823,yvgny382lhmjhgg65g6qgm3jfv8zf86ywwrwhyl,"{""params"":[""cardanoAtlanticCouncil"",""johnnyKelly"",""joshuaStone""],""timestamp"":1718317175035}",cardanoAtlanticCouncil,johnnyKelly,joshuaStone,,,,643899938
